threshold,precision,recall,f1,accuracy
0.2,0.44366197183098594,0.75,0.5575221238938053,0.7019374068554396
0.25,0.47520661157024796,0.6845238095238095,0.5609756097560976,0.7317436661698957
0.3,0.5025641025641026,0.5833333333333334,0.5399449035812672,0.7511177347242921
0.35,0.5294117647058824,0.5357142857142857,0.5325443786982249,0.7645305514157973
0.39999999999999997,0.5586206896551724,0.48214285714285715,0.5175718849840255,0.7749627421758569
0.44999999999999996,0.5725190839694656,0.44642857142857145,0.5016722408026756,0.7779433681073026
0.49999999999999994,0.5892857142857143,0.39285714285714285,0.4714285714285714,0.7794336810730254
0.5499999999999999,0.6224489795918368,0.3630952380952381,0.45864661654135336,0.7853949329359166
0.5999999999999999,0.6463414634146342,0.31547619047619047,0.424,0.7853949329359166
0.6499999999999999,0.6935483870967742,0.25595238095238093,0.3739130434782609,0.7853949329359166
0.7,0.72,0.21428571428571427,0.3302752293577982,0.7824143070044709
0.7499999999999998,0.75,0.17857142857142858,0.28846153846153844,0.7794336810730254
0.7999999999999998,0.8275862068965517,0.14285714285714285,0.2436548223350254,0.7779433681073026
