model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std
LogisticRegression,0.6095380029806259,0.3464052287581699,0.6309523809523809,0.4472573839662447,0.6582883650478084,0.6750725661993846,0.01970442883147917,0.4585793604923518,0.017305296542893336
RandomForest,0.7794336810730254,0.5892857142857143,0.39285714285714285,0.4714285714285714,0.7819393164820599,0.7756946344813445,0.013075070904173574,0.4967666977514182,0.03350690601116698
HistGradientBoosting,0.7913561847988078,0.6228070175438597,0.4226190476190476,0.5035460992907801,0.7732533371201364,0.7758468099818028,0.02048546267458763,0.5047733763722828,0.04785628913319839
