target_variant,model_type,listing_id,make,model,brand,price_eur,mileage_km,age_years,power_hp,fuel_type,listing_country,price_label,top_price,top_price_plus_good_price,threshold_used,probability_positive_label,predicted_positive_label,review_rank
top_price_only,Random Forest,2832,audi,a3,audi,20390,174950.0,3.0,150.0,diesel,germany,fair-price,0,0,0.5,0.48601443161366975,0,1068
top_price_only,Random Forest,1842,audi,a3,audi,13490,93100.0,8.0,116.0,petrol,germany,good-price,0,1,0.5,0.48580246192750925,0,1069
top_price_only,Random Forest,1156,audi,a3,audi,22990,52500.0,3.0,150.0,petrol,germany,top-price,1,1,0.5,0.48565973510448396,0,1070
top_price_only,Random Forest,1042,audi,a3,audi,13890,113264.0,9.0,125.0,petrol,germany,top-price,1,1,0.5,0.4854436210297428,0,1071
top_price_only,Random Forest,1445,audi,a3,audi,16490,106123.0,6.0,116.0,petrol,germany,fair-price,0,0,0.5,0.4851565783333152,0,1072
top_price_only,Random Forest,2640,audi,a3,audi,13449,112275.0,11.0,150.0,petrol,germany,fair-price,0,0,0.5,0.48475778234948946,0,1073
top_price_only,Random Forest,3129,audi,a3,audi,27190,13200.0,1.0,150.0,petrol,germany,fair-price,0,0,0.5,0.48451807227394234,0,1074
top_price_only,Random Forest,3051,audi,a3,audi,21760,35924.0,3.0,110.0,petrol,germany,fair-price,0,0,0.5,0.48430651403088676,0,1075
top_price_only,Random Forest,1598,audi,a3,audi,21750,55088.0,3.0,110.0,petrol,germany,fair-price,0,0,0.5,0.48429528115121534,0,1076
top_price_only,Random Forest,740,audi,a3,audi,12990,66245.0,9.0,116.0,petrol,germany,top-price,1,1,0.5,0.4842595647451264,0,1077
top_price_only,Random Forest,365,audi,a3,audi,4300,182000.0,15.0,125.0,petrol,germany,top-price,1,1,0.5,0.4840108410948409,0,1078
top_price_only,Random Forest,828,audi,a3,audi,9500,220000.0,9.0,150.0,diesel,germany,top-price,1,1,0.5,0.48375595386373776,0,1079
top_price_only,Random Forest,593,audi,a3,audi,3400,170000.0,16.0,125.0,petrol,germany,toolow-price,0,0,0.5,0.4835108286529007,0,1080
top_price_only,Random Forest,1026,audi,a3,audi,12990,149950.0,9.0,150.0,petrol,germany,good-price,0,1,0.5,0.48348741343400403,0,1081
top_price_only,Random Forest,1397,audi,a3,audi,22500,95000.0,4.0,150.0,petrol,germany,top-price,1,1,0.5,0.48315691206303285,0,1082
top_price_only,Random Forest,176,audi,a3,audi,26480,95300.0,3.0,200.0,diesel,germany,top-price,1,1,0.5,0.4828640490552183,0,1083
top_price_only,Random Forest,841,audi,a3,audi,19990,143000.0,5.0,150.0,petrol,germany,fair-price,0,0,0.5,0.4826408947604215,0,1084
top_price_only,Random Forest,1828,audi,a3,audi,22870,76758.0,4.0,150.0,petrol,germany,somewhat-expensive,0,0,0.5,0.48263558083509855,0,1085
top_price_only,Random Forest,290,audi,a3,audi,13950,130000.0,8.0,150.0,petrol,germany,top-price,1,1,0.5,0.4824643685421759,0,1086
top_price_only,Random Forest,1693,audi,a3,audi,12800,121908.0,10.0,150.0,petrol,germany,fair-price,0,0,0.5,0.48227230521208186,0,1087
top_price_only,Random Forest,1764,audi,a3,audi,11999,138000.0,9.0,110.0,petrol,germany,good-price,0,1,0.5,0.48216396372558223,0,1088
top_price_only,Random Forest,1120,audi,a3,audi,22490,42000.0,3.0,110.0,petrol,germany,good-price,0,1,0.5,0.4817810552095931,0,1089
top_price_only,Random Forest,1337,audi,a3,audi,15850,102771.0,8.0,150.0,petrol,germany,good-price,0,1,0.5,0.4817665697426938,0,1090
top_price_only,Random Forest,1015,audi,a3,audi,19999,125000.0,6.0,150.0,petrol,germany,fair-price,0,0,0.5,0.4817515514052284,0,1091
top_price_only,Random Forest,1512,audi,a3,audi,18200,106900.0,5.0,116.0,diesel,germany,fair-price,0,0,0.5,0.48174021835302794,0,1092
top_price_only,Random Forest,2610,audi,a3,audi,21490,85000.0,2.0,110.0,petrol,germany,fair-price,0,0,0.5,0.48147962095493585,0,1093
top_price_only,Random Forest,658,audi,a3,audi,13000,136000.0,10.0,150.0,petrol,germany,fair-price,0,0,0.5,0.48130547291950543,0,1094
top_price_only,Random Forest,2290,audi,a3,audi,37930,3212.0,1.0,150.0,petrol,germany,top-price,1,1,0.5,0.48127516177480767,0,1095
top_price_only,Random Forest,1447,audi,a3,audi,17500,120000.0,6.0,150.0,diesel,germany,top-price,1,1,0.5,0.4811037810396116,0,1096
top_price_only,Random Forest,2382,audi,a3,audi,17400,83164.0,6.0,116.0,petrol,germany,fair-price,0,0,0.5,0.4807076154360294,0,1097
top_price_only,Random Forest,819,audi,a3,audi,9990,179549.0,11.0,179.0,petrol,germany,top-price,1,1,0.5,0.4803610509499746,0,1098
top_price_only,Random Forest,1702,audi,a3,audi,21880,33508.0,2.0,110.0,petrol,germany,good-price,0,1,0.5,0.4800383551585468,0,1099
top_price_only,Random Forest,2320,audi,a3,audi,23830,16897.0,2.0,110.0,petrol,germany,fair-price,0,0,0.5,0.4796634987670516,0,1100
top_price_only,Random Forest,592,audi,a3,audi,2990,170000.0,17.0,125.0,petrol,germany,good-price,0,1,0.5,0.47936370995452365,0,1101
top_price_only,Random Forest,1614,audi,a3,audi,13750,111461.0,7.0,116.0,petrol,germany,fair-price,0,0,0.5,0.4792886936158927,0,1102
top_price_only,Random Forest,179,audi,a3,audi,35790,21100.0,0.0,150.0,petrol,germany,fair-price,0,0,0.5,0.4792556081275109,0,1103
top_price_only,Random Forest,3230,audi,a3,audi,35790,21100.0,0.0,150.0,petrol,germany,fair-price,0,0,0.5,0.4792556081275109,0,1104
